"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Pulicidae","Spilopsyllinae","Acediopsylla","tepolita","Barrera",1967,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",2791,"NA","NA","Lewis13","NA","NA","NA","NA","NA","Acediopsylla Ewing, 1940","Spilopsyllus tepolita Barrera, 1967","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Ewing, 1940","NA","NA","synonym","NA","NA","Acediopsylla"
"Pulicidae","Spilopsyllinae","Acediopsylla","spillmanni","Jordan",1930,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",2792,"NA","NA","Lewis15","NA","NA","NA","NA","NA","Acediopsylla Ewing, 1940","Spilopsyllus spillmanni Jordan, 1930","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Ewing, 1940","NA","NA","synonym","NA","NA","Acediopsylla"
"Pulicidae","Spilopsyllinae","Acediopsylla","inaequalis inaequalis","(Baker)",1895,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",3038,"NA","NA","Lewis11","NA","NA","NA","NA","NA","Acediopsylla Ewing, 1940","Spilopsyllus inaequalis inaequalis (Baker, 1895)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Ewing, 1940","NA","NA","synonym","NA","NA","Acediopsylla"
"Pulicidae","Spilopsyllinae","Acediopsylla","inaequalis interrupta","Jordan",1925,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",3039,"NA","NA","Lewis14","NA","NA","NA","NA","NA","Acediopsylla Ewing, 1940","Spilopsyllus inaequalis interrupta Jordan, 1925","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Ewing, 1940","NA","NA","synonym","NA","NA","Acediopsylla"
"Pulicidae","Spilopsyllinae","Cediopsylla","tepolita","Barrera",1967,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",3172,"NA","NA","Lewis13","NA","NA","NA","NA","NA","Cediopsylla Jordan, 1925","Spilopsyllus tepolita Barrera, 1967","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Jordan, 1925","NA","NA","synonym","NA","NA","Cediopsylla"
"Pulicidae","Spilopsyllinae","Cediopsylla","spillmanni","Jordan",1930,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",3173,"NA","NA","Lewis15","NA","NA","NA","NA","NA","Cediopsylla Jordan, 1925","Spilopsyllus spillmanni Jordan, 1930","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Jordan, 1925","NA","NA","synonym","NA","NA","Cediopsylla"
"Pulicidae","Spilopsyllinae","Cediopsylla","inaequalis inaequalis","(Baker)",1895,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",3247,"NA","NA","Lewis11","NA","NA","NA","NA","NA","Cediopsylla Jordan, 1925","Spilopsyllus inaequalis inaequalis (Baker, 1895)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Jordan, 1925","NA","NA","synonym","NA","NA","Cediopsylla"
"Pulicidae","Spilopsyllinae","Cediopsylla","inaequalis interrupta","Jordan",1925,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",3248,"NA","NA","Lewis14","NA","NA","NA","NA","NA","Cediopsylla Jordan, 1925","Spilopsyllus inaequalis interrupta Jordan, 1925","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Jordan, 1925","NA","NA","synonym","NA","NA","Cediopsylla"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","mokrzeckyi","(Wagner)",1916,"Ceratophyllus acutus Baker, 1904; Diamanus hopkinsi Vargas, 1955; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Ceratophyllus sucinus Jordan & Rothschild, 1921","Lewis",2814,"NA","NA","Lewis57","NA","NA","NA","NA","NA","Ceratophyllus acutus Baker, 1904","Nosopsyllus mokrzeckyi (Wagner, 1916)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","acutus","NA","species","NA","Baker, 1904","NA","NA","synonym","NA","NA","Ceratophyllus acutus"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","montana","(Baker)",1895,"Ceratophyllus acutus Baker, 1904; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Diamanus hopkinsi Vargas, 1955","Lewis",2815,"NA","NA","Lewis58","NA","NA","NA","NA","NA","Ceratophyllus acutus Baker, 1904","Oropsylla montana (Baker, 1895)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","acutus","NA","species","NA","Baker, 1904","NA","NA","synonym","NA","NA","Ceratophyllus acutus"
"Ctenophthalmidae","Neopsyllinae","Ceratophyllus","honora","Jordan",1932,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Neopsylla rhombosa Chen & Wei, 1978","Lewis",3309,"NA","NA","Lewis281","NA","NA","NA","NA","NA","Ceratophyllus hexactena petropolitana Wagner, 1898","Neopsylla honora Jordan, 1932","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","hexactena","petropolitana","subspecies","NA","Wagner, 1898","NA","NA","synonym","NA","NA","Ceratophyllus hexactena petropolitana"
"Ischnopsyllidae","Ischnopsyllinae","Ceratophyllus","hexactenus","(Kolenati)",1856,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Pulex vespertilionis Bouché, 1835; Pulex vespertilionis Dugès, 1832","Lewis",3310,"NA","NA","Lewis282","NA","NA","NA","NA","NA","Ceratophyllus hexactena petropolitana Wagner, 1898","Ischnopsyllus hexactenus (Kolenati, 1856)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","hexactena","petropolitana","subspecies","NA","Wagner, 1898","NA","NA","synonym","NA","NA","Ceratophyllus hexactena petropolitana"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","hirundinis","(Curtis)",1826,"Pulex hirundinis Köhler, 1832 (junior homonym); Ceratophyllus hirundinis Chao, 1947 (junior homonym); Ceratophyllus hirundinis oiticus Peus, 1954; Ceratophyllus phaulius Rothschild, 1909; Ceratophyllus pinnatus Wagner, 1898; Ceratophyllus troglodytes Dampf, 1908","Lewis",3222,"NA","NA","Lewis330","NA","NA","NA","NA","NA","Ceratophyllus hirundinis Chao, 1947","Ceratophyllus hirundinis (Curtis, 1826)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","hirundinis","NA","species","NA","Chao, 1947","NA","NA","junior homonym","NA","NA","Ceratophyllus hirundinis"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","vagabundus vagabundus","(Boheman)",1866,"Ceratophyllus digitalis Wahlgren, 1903; Ceratophyllus monedulae Wahlgren, 1907; Ceratophyllus vagabundus orientalis Wagner, 1930","Lewis",3256,"NA","NA","Lewis78","NA","NA","NA","NA","NA","Ceratophyllus monedulae Wahlgren, 1907","Ceratophyllus vagabundus vagabundus (Boheman, 1866)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","monedulae","NA","species","NA","Wahlgren, 1907","NA","NA","synonym","NA","NA","Ceratophyllus monedulae"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","gallinulae gallinulae","(Dale)",1878,"Ceratophyllus arvenis Dale, 1878; Ceratophyllus atricapillae Dale, 1878; Ceratophyllus caudati Dale 1878; Ceratophyllus cinereae Dale, 1878; Ceratophyllus citrinellae Dale, 1878; Ceratophyllus garruli Dale, 1878; Ceratophyllus merulae Dale, 1878; Ceratophyllus monedulae Dale, 1878; Ceratophyllus newsteadi Rothschild, 1901; Ceratophyllus pyrrhulae Dale, 1878; Ceratophyllus trochili Dale, 1878; Ceratophyllus viscivora Dale, 1878; Dasypsyllus gallinulae zilianus Peus, 1954","Lewis",3384,"NA","NA","Lewis64","NA","NA","NA","NA","NA","Ceratophyllus monedulae Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale, 1878)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","monedulae","NA","species","NA","Dale, 1878","NA","NA","synonym","NA","NA","Ceratophyllus monedulae"
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes peusianus","Rosicky",1955,"Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim); Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim); Ctenophthalmus agyrtes obenbergeri Rosicky, 1957","Lewis",3078,"NA","NA","Lewis144","NA","NA","NA","NA","NA","Ctenophthalmus agyrtes slovacicus Rosicky, 1951","Ctenophthalmus agyrtes peusianus Rosicky, 1955","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","agyrtes","slovacicus","subspecies","NA","Rosicky, 1951","NA","NA","synonym","NA","partim","Ctenophthalmus agyrtes slovacicus"
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes agyrtes","(Heller)",1896,"Ctenophthalmus agyrtoides Wahlgren, 1911; Ctenophthalmus agyrtes hanzaki Rosicky, 1951; Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim); Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim)","Lewis",3329,"NA","NA","Lewis145","NA","NA","NA","NA","NA","Ctenophthalmus agyrtes slovacicus Rosicky, 1951","Ctenophthalmus agyrtes agyrtes (Heller, 1896)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","agyrtes","slovacicus","subspecies","NA","Rosicky, 1951","NA","NA","synonym","NA","partim","Ctenophthalmus agyrtes slovacicus"
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes peusianus","Rosicky",1955,"Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim); Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim); Ctenophthalmus agyrtes obenbergeri Rosicky, 1957","Lewis",3260,"NA","NA","Lewis144","NA","NA","NA","NA","NA","Ctenophthalmus orphilus tatricus Rosicky, 1951","Ctenophthalmus agyrtes peusianus Rosicky, 1955","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","orphilus","tatricus","subspecies","NA","Rosicky, 1951","NA","NA","synonym","NA","partim","Ctenophthalmus orphilus tatricus"
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes agyrtes","(Heller)",1896,"Ctenophthalmus agyrtoides Wahlgren, 1911; Ctenophthalmus agyrtes hanzaki Rosicky, 1951; Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim); Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim)","Lewis",3356,"NA","NA","Lewis145","NA","NA","NA","NA","NA","Ctenophthalmus orphilus tatricus Rosicky, 1951","Ctenophthalmus agyrtes agyrtes (Heller, 1896)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","orphilus","tatricus","subspecies","NA","Rosicky, 1951","NA","NA","synonym","NA","partim","Ctenophthalmus orphilus tatricus"
"Ceratophyllidae","Ceratophyllinae","Diamanus","mokrzeckyi","(Wagner)",1916,"Ceratophyllus acutus Baker, 1904; Diamanus hopkinsi Vargas, 1955; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Ceratophyllus sucinus Jordan & Rothschild, 1921","Lewis",3180,"NA","NA","Lewis57","NA","NA","NA","NA","NA","Diamanus hopkinsi Vargas, 1955","Nosopsyllus mokrzeckyi (Wagner, 1916)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","hopkinsi","NA","species","NA","Vargas, 1955","NA","NA","synonym","NA","NA","Diamanus hopkinsi"
"Ceratophyllidae","Ceratophyllinae","Diamanus","montana","(Baker)",1895,"Ceratophyllus acutus Baker, 1904; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Diamanus hopkinsi Vargas, 1955","Lewis",3297,"NA","NA","Lewis58","NA","NA","NA","NA","NA","Diamanus hopkinsi Vargas, 1955","Oropsylla montana (Baker, 1895)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","hopkinsi","NA","species","NA","Vargas, 1955","NA","NA","synonym","NA","NA","Diamanus hopkinsi"
"Pygiopsyllidae","NA","Glauertidos","NA","Jordan & Rothschild",1922,"Akmepsylla Wagner, 1933; Glauertidos M. Rothschild, 1937","Lewis",3152,"NA","NA","Lewis20","NA","NA","NA","NA","NA","Glauertidos M. Rothschild, 1937","Acanthopsylla Jordan & Rothschild, 1922","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","M. Rothschild, 1937","NA","NA","synonym","NA","NA","Glauertidos"
"Pygiopsyllidae","NA","Glauertidos","scintilla scintilla","(M. Rothschild)",1936,"Glauertia scintilla M. Rothschild, 1936; Glauertidos M. Rothschild, 1937 (nomen novum for Glauertia = Acanthopsylla Jordan & Rothschild, 1922)","Lewis",3265,"NA","NA","Lewis208","NA","NA","NA","NA","NA","Glauertidos M. Rothschild, 1937","Acanthopsylla scintilla scintilla (M. Rothschild, 1936)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","M. Rothschild, 1937","NA","NA","synonym","nomen novum","nomen novum for Glauertia = Acanthopsylla Jordan & Rothschild, 1922","Glauertidos"
"Ctenophthalmidae","Neopsyllinae","Ischnopsyllus","honora","Jordan",1932,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Neopsylla rhombosa Chen & Wei, 1978","Lewis",3215,"NA","NA","Lewis281","NA","NA","NA","NA","NA","Ischnopsyllus kolenatii Wagner, 1930","Neopsylla honora Jordan, 1932","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","kolenatii","NA","species","NA","Wagner, 1930","NA","NA","synonym","NA","NA","Ischnopsyllus kolenatii"
"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus","hexactenus","(Kolenati)",1856,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Pulex vespertilionis Bouché, 1835; Pulex vespertilionis Dugès, 1832","Lewis",3216,"NA","NA","Lewis282","NA","NA","NA","NA","NA","Ischnopsyllus kolenatii Wagner, 1930","Ischnopsyllus hexactenus (Kolenati, 1856)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","kolenatii","NA","species","NA","Wagner, 1930","NA","NA","synonym","NA","NA","Ischnopsyllus kolenatii"
"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus","intermedius","(Rothschild)",1898,"Ceratopsylla wagneri Kohaut, 1903; Ischnopsyllus schmitzi Oudemans, 1909 (female Ischnopsyllus intermedius)","Lewis",3197,"NA","NA","Lewis110","NA","NA","NA","NA","NA","Ischnopsyllus schmitzi Oudemans, 1909","Ischnopsyllus intermedius (Rothschild, 1898)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","schmitzi","NA","species","NA","Oudemans, 1909","NA","NA","synonym","NA","female Ischnopsyllus intermedius","Ischnopsyllus schmitzi"
