"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Ceratophyllidae","Ceratophyllinae","Ischnopsyllus","simplex simplex","(Wagner)",1902,"Ceratophyllus danubianus Rothschild, 1909; Citellophilus simplex domicae Rosicky, 1956; Ischnopsyllus schmitzi Oudemans, 1909 (male of Ischnopsyllus simplex simplex)","Lewis",3326,"NA","NA","Lewis77","NA","NA","NA","NA","NA","Ischnopsyllus schmitzi Oudemans, 1909","Citellophilus simplex simplex (Wagner, 1902)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","schmitzi","NA","species","NA","Oudemans, 1909","NA","NA","synonym","NA","male of Ischnopsyllus simplex simplex","Ischnopsyllus schmitzi"
"Ceratophyllidae","Ceratophyllinae","Jellisonia","NA","Traub",1944,"Pleochaetoides Augustson, 1944 (subgenus); Jellisonia Traub, 1944 (subgenus)","Lewis",3161,"NA","NA","Lewis319","NA","NA","NA","NA","NA","Jellisonia Traub, 1944","Jellisonia Traub, 1944","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","subgenus","NA","Traub, 1944","NA","NA","synonym","NA","NA","Jellisonia"
"Ctenophthalmidae","Neopsyllinae","Nycteridopsylla","honora","Jordan",1932,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Neopsylla rhombosa Chen & Wei, 1978","Lewis",2937,"NA","NA","Lewis281","NA","NA","NA","NA","NA","Nycteridopsylla bouchei Oudemans, 1906","Neopsylla honora Jordan, 1932","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","bouchei","NA","species","NA","Oudemans, 1906","NA","NA","synonym","NA","NA","Nycteridopsylla bouchei"
"Ischnopsyllidae","Ischnopsyllinae","Nycteridopsylla","hexactenus","(Kolenati)",1856,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Pulex vespertilionis Bouché, 1835; Pulex vespertilionis Dugès, 1832","Lewis",2938,"NA","NA","Lewis282","NA","NA","NA","NA","NA","Nycteridopsylla bouchei Oudemans, 1906","Ischnopsyllus hexactenus (Kolenati, 1856)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","bouchei","NA","species","NA","Oudemans, 1906","NA","NA","synonym","NA","NA","Nycteridopsylla bouchei"
"Ceratophyllidae","Ceratophyllinae","Oropsylla","montana","(Baker)",1895,"Ceratophyllus acutus Baker, 1904; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Diamanus hopkinsi Vargas, 1955","Lewis",3181,"NA","NA","Lewis58","NA","NA","NA","NA","NA","Oropsylla montana mandarina (Jordan & Rothschild, 1911)","Oropsylla montana (Baker, 1895)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","montana","mandarina","subspecies","NA","NA","NA","NA","synonym","NA","NA","Oropsylla montana mandarina"
"Ceratophyllidae","Ceratophyllinae","Oropsylla","mokrzeckyi","(Wagner)",1916,"Ceratophyllus acutus Baker, 1904; Diamanus hopkinsi Vargas, 1955; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Ceratophyllus sucinus Jordan & Rothschild, 1921","Lewis",3296,"NA","NA","Lewis57","NA","NA","NA","NA","NA","Oropsylla montana mandarina (Jordan & Rothschild, 1911)","Nosopsyllus mokrzeckyi (Wagner, 1916)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","montana","mandarina","subspecies","NA","NA","NA","NA","synonym","NA","NA","Oropsylla montana mandarina"
"Ctenophthalmidae","Ctenophthalminae","Palaeopsylla","aporema","Smit & Rosicky",1976,"Palaeopsylla makaluensis Brelih, 1975 (Female)","Lewis",2947,"NA","NA","Lewis296","NA","NA","NA","NA","NA","Palaeopsylla makaluensis Brelih, 1975","Palaeopsylla aporema Smit & Rosicky, 1976","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","makaluensis","NA","species","NA","Brelih, 1975","NA","NA","synonym","NA","female","Palaeopsylla makaluensis"
"Ctenophthalmidae","Ctenophthalminae","Palaeopsylla","tauberi makaluensis","Brelih",1975,"Palaeopsylla makaluensis Brelih, 1975 (Male)","Lewis",3130,"NA","NA","Lewis297","NA","NA","NA","NA","NA","Palaeopsylla makaluensis Brelih, 1975","Palaeopsylla tauberi makaluensis Brelih, 1975","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","makaluensis","NA","species","NA","Brelih, 1975","NA","NA","synonym","NA","male","Palaeopsylla makaluensis"
"Rhopalopsyllidae","Rhopalopsyllinae","Polygenis","dentei","Guimaráes",1947,"NA","Lewis",1229,"NA","NA","NA","NA","NA","NA","NA","NA","Polygenis dentei Guimaráes, 1947","NA","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","dentei","NA","species","NA","Guimaráes, 1947","NA","NA","accepted","NA","NA","Polygenis dentei"
"Rhopalopsyllidae","Rhopalopsyllinae","Polygenis","pygaerus","(Wagner)",1937,"Polygenis dentei Guimarães, 1947","Lewis",2965,"NA","NA","Lewis323","NA","NA","NA","NA","NA","Polygenis dentei Guimarães, 1947","Polygenis pygaerus (Wagner, 1937)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","dentei","NA","species","NA","Guimarães, 1947","NA","NA","synonym","NA","NA","Polygenis dentei"
"Pulicidae","Archaeopsyllinae","Pulex","canis","(Curtis)",1926,"Pulex canis Curtis, 1826 (junior homonym); Pulex canis Dugès, 1832 (junior homonym); Ctenocephalus novemdentatus Kolenati, 1859","Lewis",2973,"NA","NA","Lewis332","NA","NA","NA","NA","NA","Pulex canis Curtis, 1826","Ctenocephalides canis (Curtis, 1926)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","canis","NA","species","NA","Curtis, 1826","NA","NA","junior homonym","NA","NA","Pulex canis"
"Pulicidae","Archaeopsyllinae","Pulex","canis","(Curtis)",1926,"Pulex canis Curtis, 1826 (junior homonym); Pulex canis Dugès, 1832 (junior homonym); Ctenocephalus novemdentatus Kolenati, 1859","Lewis",3223,"NA","NA","Lewis332","NA","NA","NA","NA","NA","Pulex canis Dugès, 1832","Ctenocephalides canis (Curtis, 1926)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","canis","NA","species","NA","Dugès, 1832","NA","NA","junior homonym","NA","NA","Pulex canis"
"Ctenophthalmidae","Neopsyllinae","Pulex","grandis","(Rothschild)",1902,"Neopsylla striata Stewart, 1926; Pulex gigas Kirby, 1837","Lewis",3214,"NA","NA","Lewis272","NA","NA","NA","NA","NA","Pulex gigas Kirby, 1837","Tamiophila grandis (Rothschild, 1902)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","gigas","NA","species","NA","Kirby, 1837","NA","NA","synonym","NA","NA","Pulex gigas"
"NA","NA","Pulex","NA","NA",1837,"Pulex gigas Kirby, 1837 (likely a species of Hystrichopsylla)","Lewis",337,"NA","NA","NA","NA","NA","NA","NA","NA","Pulex gigas Kirby, 1837","NA","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","gigas","NA","species","NA","NA","NA","NA","synonym","NA","likely a species of Hystrichopsylla","Pulex gigas"
"Leptopsyllidae","Leptopsyllinae","Pulex","segnis","(Schönherr)",1811,"Pulex musculi Dugès, 1832; Pulex musculi Bouché, 1835 (junior homonym of Pulex musculi Dugès, 1832); Ctenophthalmus quadridentatus Kolenati, 1859; Ctenophthalmus bisbidentatus Kolenati, 1859;Typhlopsylla mexicana Baker, 1896;","Lewis",2982,"NA","NA","Lewis346","NA","NA","NA","NA","NA","Pulex musculi Dugès, 1832","Leptopsylla segnis (Schönherr, 1811)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","musculi","NA","species","NA","Dugès, 1832","NA","NA","synonym","NA","NA","Pulex musculi"
"Leptopsyllidae","Leptopsyllinae","Pulex","segnis","(Schönherr)",1811,"Pulex musculi Dugès, 1832; Pulex musculi Bouché, 1835 (junior homonym of Pulex musculi Dugès, 1832); Ctenophthalmus quadridentatus Kolenati, 1859; Ctenophthalmus bisbidentatus Kolenati, 1859;Typhlopsylla mexicana Baker, 1896;","Lewis",3227,"NA","NA","Lewis346","NA","NA","NA","NA","NA","Pulex musculi Bouché, 1835","Leptopsylla segnis (Schönherr, 1811)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","musculi","NA","species","NA","Bouché, 1835","NA","NA","junior homonym","NA","junior homonym of Pulex musculi Dugès, 1832","Pulex musculi"
"Ischnopsyllidae","Ischnopsyllinae","Pulex","hexactenus","(Kolenati)",1856,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Pulex vespertilionis Bouché, 1835; Pulex vespertilionis Dugès, 1832","Lewis",3348,"NA","NA","Lewis282","NA","NA","NA","NA","NA","Pulex vespertilionis Bouché, 1835","Ischnopsyllus hexactenus (Kolenati, 1856)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","vespertilionis","NA","species","NA","Bouché, 1835","NA","NA","synonym","NA","NA","Pulex vespertilionis"
"Ischnopsyllidae","Ischnopsyllinae","Pulex","hexactenus","(Kolenati)",1856,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Pulex vespertilionis Bouché, 1835; Pulex vespertilionis Dugès, 1832","Lewis",3365,"NA","NA","Lewis282","NA","NA","NA","NA","NA","Pulex vespertilionis Dugès, 1832","Ischnopsyllus hexactenus (Kolenati, 1856)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","vespertilionis","NA","species","NA","Dugès, 1832","NA","NA","synonym","NA","NA","Pulex vespertilionis"
"Pygiopsyllidae","NA","Pygiopsylla","hoplia","Jordan & Rothschild",1922,"Pygiopsylla congrua Jordan & Rothschild, 1922 (female); Pygiopsylla spinata Holland, 1969","Lewis",2987,"NA","NA","Lewis354","NA","NA","NA","NA","NA","Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla hoplia Jordan & Rothschild, 1922","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","congrua","NA","species","NA","Jordan & Rothschild, 1922","NA","NA","synonym","NA","female","Pygiopsylla congrua"
"Pygiopsyllidae","NA","Pygiopsylla","zethi","(Rothschild)",1904,"Pygiopsylla congrua Jordan & Rothschild, 1922 (male)","Lewis",2988,"NA","NA","Lewis355","NA","NA","NA","NA","NA","Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla zethi (Rothschild, 1904)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","congrua","NA","species","NA","Jordan & Rothschild, 1922","NA","NA","synonym","NA","male","Pygiopsylla congrua"
"Ctenophthalmidae","Rhadinopsyllinae","Rhadinopsylla","semenovi","Argyropulo",1946,"Rhadinopsylla semenovi Argyropulo, 1941","Lewis",2998,"NA","NA","Lewis367","NA","NA","NA","NA","NA","Rhadinopsylla semenovi Argyropulo, 1941","Rhadinopsylla semenovi Argyropulo, 1946","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","semenovi","NA","species","NA","Argyropulo, 1941","NA","NA","synonym","NA","NA","Rhadinopsylla semenovi"
"Ctenophthalmidae","Ctenophthalminae","Spalacopsylla","NA","Kolenati",1856,"Spalacopsylla Kolenati, 1856 (junior synonym)","Lewis",2779,"NA","NA","Lewis380","NA","NA","NA","NA","NA","Spalacopsylla Kolenati, 1856","Ctenophthalmus Kolenati, 1856","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","Kolenati, 1856","NA","NA","junior synonym","NA","junior synonym","Spalacopsylla"
"Ctenophthalmidae","Doratopsyllinae","Spalacopsylla","NA","Ewing",1925,"Spalacopsylla Pinto, 1930 (junior synonym)","Lewis",2780,"NA","NA","Lewis381","NA","NA","NA","NA","NA","Spalacopsylla Pinto, 1930","Adoratopsylla Ewing, 1925","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","Pinto, 1930","NA","NA","junior synonym","NA","junior synonym","Spalacopsylla"
"Ischnopsyllidae","Ischnopsyllinae","Spalacopsylla","NA","Westwood",1833,"Ceratopsylla Wagner, 1988??; Spalacopsylla Oudemans, 1906 (junior synonym)Nychopsyllus Eysell, 1913; Nycteridiphilis K. Dalla Torre, 1914; Hirtopsylla Argyropulo, 1948 (unrecognized subgenus)","Lewis",3154,"NA","NA","Lewis109","NA","NA","NA","NA","NA","Spalacopsylla Oudemans, 1906 Nychopsyllus Eysell, 1913","Ischnopsyllus Westwood, 1833","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","Oudemans, 1906 Nychopsyllus Eysell, 1913","NA","NA","junior synonym","NA","junior synonym","Spalacopsylla"
"Ceratophyllidae","Ceratophyllinae","Thrassis","acamantis","(Rothschild)",1905,"Thrassis howelli (Jordan, 1933); Thrassis acamantis Stark, 1970; Thrassis pristinus Stark, 1957; Thrassis utahensis Wagner, 1936","Lewis",3242,"NA","NA","Lewis399","NA","NA","NA","NA","NA","Thrassis acamantis Stark, 1970","Thrassis acamantis (Rothschild, 1905)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","acamantis","NA","species","NA","Stark, 1970","NA","NA","synonym","NA","NA","Thrassis acamantis"
"Ceratophyllidae","Ceratophyllinae","Trichopsylla","NA","Ioff",1936,"Trichopsylla Kolenati, 1863; Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863); Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)","Lewis",2781,"NA","NA","Lewis404","NA","NA","NA","NA","NA","Trichopsylla Kolenati, 1863","Amalaraeus Ioff, 1936","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","Kolenati, 1863","NA","NA","synonym","NA","NA","Trichopsylla"
"Ceratophyllidae","Ceratophyllinae","Trichopsylla","NA","Ioff",1936,"Trichopsylla Kolenati, 1863; Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863); Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)","Lewis",3164,"NA","NA","Lewis404","NA","NA","NA","NA","NA","Trichopsylla Jordan & Rothschild, 1920","Amalaraeus Ioff, 1936","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","Jordan & Rothschild, 1920","NA","NA","junior homonym","NA","junior homonym of Trichopsylla Kolenati, 1863","Trichopsylla"
"Ceratophyllidae","Ceratophyllinae","Trichopsylla","NA","Ioff",1936,"Trichopsylla Kolenati, 1863; Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863); Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)","Lewis",3289,"NA","NA","Lewis404","NA","NA","NA","NA","NA","Trichopsylla Ewing & Fox, 1943","Amalaraeus Ioff, 1936","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","Ewing & Fox, 1943","NA","NA","junior homonym","NA","junior homonym of Trichopsylla Kolenati, 1863","Trichopsylla"
"Pulicidae","Xenopsyllinae","Xenopsylla","skrjabini","Ioff",1930,"Xenopsylla skrjabini Ioff, 1928 (only later 1930 did Ioff describe)","Lewis",3034,"NA","NA","Lewis417","NA","NA","NA","NA","NA","Xenopsylla skrjabini Ioff, 1928","Xenopsylla skrjabini Ioff, 1930","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","skrjabini","NA","species","NA","Ioff, 1928","NA","NA","synonym","NA","only later 1930 did Ioff describe","Xenopsylla skrjabini"
