"family","scientificName","in petra's list","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Vermipsyllidae","Vermipsyllidae","yes","FMNH",324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae",NA,NA,NA,"genus",NA,"",NA,NA,NA,NA,NA,"Vermipsyllidae"
"Ceratophyllidae","Ceratophyllus","yes","FMNH",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus"
"Ceratophyllidae","Dactylopsylla","yes","FMNH",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Dactylopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Dactylopsylla"
"Ceratophyllidae","Dasypsyllus","yes","FMNH",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Dasypsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Dasypsyllus"
"Ceratophyllidae","Foxella","yes","FMNH",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Foxella",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Foxella"
"Ceratophyllidae","Kohlsia","yes","FMNH",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Kohlsia",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Kohlsia"
"Ceratophyllidae","Malaraeus","yes","FMNH",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Malaraeus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Malaraeus"
"Ceratophyllidae","Opisodasys","yes","FMNH",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Opisodasys",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Opisodasys"
"Ceratophyllidae","Orchopeas","yes","FMNH",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Orchopeas",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Orchopeas"
"Ceratophyllidae","Oropsylla (Diamanus)","yes","FMNH",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Oropsylla","Diamanus",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Diamanus"
"Ceratophyllidae","Oropsylla (Opisocrostis)","yes","FMNH",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Oropsylla","Opisocrostis",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Opisocrostis"
"Ceratophyllidae","Oropsylla (Oropsylla)","yes","FMNH",116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Oropsylla","Oropsylla",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Oropsylla"
"Ceratophyllidae","Pleochaetis","yes","FMNH",119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pleochaetis",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Pleochaetis"
"Ceratophyllidae","Thrassis","yes","FMNH",141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Thrassis",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Thrassis"
"Hystrichopsyllidae","Anomiopsyllus","yes","FMNH",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Anomiopsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Anomiopsyllus"
"Hystrichopsyllidae","Atyphloceras","yes","FMNH",156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Atyphloceras",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Atyphloceras"
"Hystrichopsyllidae","Catallagia","yes","FMNH",168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Catallagia",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Catallagia"
"Hystrichopsyllidae","Corypsylla","yes","FMNH",179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Corypsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Corypsylla"
"Hystrichopsyllidae","Hystrichopsylla","yes","FMNH",192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Hystrichopsylla"
"Hystrichopsyllidae","Megarthroglossus","yes","FMNH",202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Megarthroglossus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Megarthroglossus"
"Hystrichopsyllidae","Meringis","yes","FMNH",221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Meringis",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Meringis"
"Hystrichopsyllidae","Neopsylla","yes","FMNH",232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Neopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Neopsylla"
"Hystrichopsyllidae","Phalacropsylla","yes","FMNH",236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Phalacropsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Phalacropsylla"
"Hystrichopsyllidae","Rhadinopsylla","yes","FMNH",243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhadinopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla"
"Hystrichopsyllidae","Stenistomera","yes","FMNH",245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stenistomera",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Stenistomera"
"Hystrichopsyllidae","Stenoponia","yes","FMNH",247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stenoponia",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Stenoponia"
"Ischnopsyllidae","Myodopsylla","yes","FMNH",255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Myodopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Myodopsylla"
"Ischnopsyllidae","Nycteridopsylla","yes","FMNH",258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Nycteridopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla"
"Leptopsyllidae","Dolichopsyllus","yes","FMNH",265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Dolichopsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Dolichopsyllus"
"Leptopsyllidae","Odontopsyllus","yes","FMNH",270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Odontopsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Odontopsyllus"
"Leptopsyllidae","Peromyscopsylla","yes","FMNH",284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Peromyscopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Peromyscopsylla"
"Pulicidae","Ctenocephalides",NA,"FMNH",293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenocephalides",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Ctenocephalides"
"Pulicidae","Euhoplopsyllus","yes","FMNH",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Euhoplopsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Euhoplopsyllus"
"Pulicidae","Hoplopsyllus","yes","FMNH",304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hoplopsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Hoplopsyllus"
"Pulicidae","Pulex (Pulex)","yes","FMNH",307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulex","Pulex",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Pulex"
"Rhopalopsyllidae","Polygenis (Polygenis)","yes","FMNH",314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Polygenis","Polygenis",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Polygenis"
"Rhopalopsyllidae","Rhopalopsyllus","yes","FMNH",318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Rhopalopsyllus"
