"catalog number","barcode","catalog","class","order","family","scientificName","type status","type citation","other identifications","sex and stage","preparation","bioregion","distribution","country","province/state","district/county","precise locality","elevation (m)","centroid latitude","centroid longitude","field number","collector(s)","collecting date","specimen count","record status","genetic sample type","biorepository number","bold id","genbank numbers","preservation method","embargo?","depleted?","record last modified","ezid","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","reason"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Megabothris unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:52:00,"http://n2t.net/ark:/65665/3d29778bb-8a17-462f-a164-f1d9d84c1684","NMNH",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megabothris",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Mioctenopsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:52:00,"http://n2t.net/ark:/65665/373788285-f649-4558-83da-1a69e49dacef","NMNH",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mioctenopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Nosopsyllus (Nosopsyllus) unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:53:00,"http://n2t.net/ark:/65665/303d16d2d-2457-4367-a399-e866fc9921db","NMNH",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus","Nosopsyllus","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ischnopsyllidae","Araeopsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:58:00,"http://n2t.net/ark:/65665/304a61297-6272-47f9-9fe6-d4be2e567284","NMNH",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Araeopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Nosopsyllus unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:54:00,"http://n2t.net/ark:/65665/341068b19-9f30-4fed-873a-6543cdad259b","NMNH",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ischnopsyllidae","Chiropteropsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:58:00,"http://n2t.net/ark:/65665/3a1efee3c-57d7-4c16-bc65-82a6c4f6b25c","NMNH",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiropteropsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ischnopsyllidae","Hormopsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:59:00,"http://n2t.net/ark:/65665/39fc1d9d7-169b-42f1-9443-172e21dad519","NMNH",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hormopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ischnopsyllidae","Lagaropsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:59:00,"http://n2t.net/ark:/65665/36b4c5b90-f714-45eb-8400-cfa93ce3a788","NMNH",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lagaropsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Doratopsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 15:12:00,"http://n2t.net/ark:/65665/32bc455c7-f457-4193-8ab6-783f10aa9ba3","NMNH",159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doratopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Epitedia unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 15:12:00,"http://n2t.net/ark:/65665/31c8000e7-596e-4922-b6e5-c40dadd4bd7e","NMNH",163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epitedia",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Tungidae","Hectopsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 15:24:00,"http://n2t.net/ark:/65665/31779f5c1-02b0-4ff0-9b40-21bb7ad5fdf7","NMNH",171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hectopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Tungidae","Rhynchopsyllus unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 15:24:00,"http://n2t.net/ark:/65665/357a4de86-c922-4d1d-8de8-4c28f2109352","NMNH",172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhynchopsyllus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Ctenocephalides unidentified",NA,NA,NA,NA,"Slide","Afrotropical; Nearctic; Oriental; Palaearctic","Angola; Botswana; Burma; Egypt; Kenya; Madagascar; Senegal; South Africa; Tanzania; United States (Kansas); Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:18:00,"http://n2t.net/ark:/65665/3b9c57347-e23b-41f9-a537-2138a9933ea2","NMNH",186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenocephalides",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Stephanocircidae","Plocopsylla unidentified",NA,NA,NA,NA,"Slide","Neotropical","Argentina; Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:19:00,"http://n2t.net/ark:/65665/37103d7de-5115-4eeb-a2fb-432047f90e9c","NMNH",196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plocopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Malacopsyllidae","Malacopsylla unidentified",NA,NA,NA,NA,"Slide","Neotropical","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 18:39:00,"http://n2t.net/ark:/65665/34c063bf7-1191-41e3-9952-ccf94e10b009","NMNH",197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malacopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Rhopalopsyllidae","Parapsyllus unidentified",NA,NA,NA,NA,"Slide","Neotropical","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 18:39:00,"http://n2t.net/ark:/65665/3f3900275-7490-4ac6-85f1-30e5f5ba6b3c","NMNH",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parapsyllus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Rhopalopsyllidae","Polygenis (Polygenis) unidentified",NA,NA,NA,NA,"Slide","Neotropical","Argentina; Mexico; Trinidad; Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:19:00,"http://n2t.net/ark:/65665/3497efbf3-a731-46c0-9e5c-e069b8488fe1","NMNH",211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis","Polygenis","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pygiopsyllidae","Pygiopsylla unidentified",NA,NA,NA,NA,"Slide","Australasian","Australia; New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-22 16:10:00,"http://n2t.net/ark:/65665/3132946e7-b1c8-4b27-ab21-309e04584a44","NMNH",239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Chimaeropsyllidae","Chiastopsylla unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana; South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:21:00,"http://n2t.net/ark:/65665/37dd57c17-f9ed-4874-b6b6-6642889931a4","NMNH",249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Chimaeropsyllidae","Epirimia unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana; South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:21:00,"http://n2t.net/ark:/65665/3d36f4b83-0cb8-47bb-a0dc-52a06ff1d1e3","NMNH",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epirimia",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Dinopsyllus (Dinopsyllus) unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana; South Africa; Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:20:00,"http://n2t.net/ark:/65665/3342992b2-0d4e-44e2-9d4f-3ea4e084db3c","NMNH",251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dinopsyllus","Dinopsyllus","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Listropsylla unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana; South Africa; Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:20:00,"http://n2t.net/ark:/65665/35b3c1d21-949b-497e-9dfe-f48417b89330","NMNH",255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Listropsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Echidnophaga unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2017-01-04 16:10:00,"http://n2t.net/ark:/65665/322bffd7f-ac3e-4f74-a45d-d412910d872c","NMNH",260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echidnophaga",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Procaviopsylla unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana; Namibia; South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:20:00,"http://n2t.net/ark:/65665/3adf24810-0584-42d7-bbba-c91438120c3c","NMNH",263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Procaviopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Synosternus unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana; Ghana; Mauritania; Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-02 21:01:00,"http://n2t.net/ark:/65665/34339f4f2-0fc9-4c05-9251-5223b4d0019e","NMNH",265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Synosternus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Pulex (Pulex) unidentified",NA,NA,NA,NA,"Slide","Nearctic; Neotropical; Palaearctic","Brazil; Netherlands; United States (Arkansas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:18:00,"http://n2t.net/ark:/65665/3b8d08e65-472c-45a2-9113-c1a9c80cc0c0","NMNH",287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex","Pulex","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
